Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Ligand-expressing cells,Ligand detection rate,Ligand average expression value,Ligand total expression value,Ligand derived specificity of average expression value,Ligand derived specificity of total expression value,Receptor-expressing cells,Receptor detection rate,Receptor average expression value,Receptor total expression value,Receptor derived specificity of average expression value,Receptor derived specificity of total expression value,Edge average expression weight,Edge average expression derived specificity,Edge total expression weight,Edge total expression derived specificity
k12,AGT,LRP2,k12,333,0.304945054945055,15.39522424338853,16811.58487378028,0.2426430425446406,0.3731613559766827,560,0.5128205128205128,75.49442476538601,82439.91184380153,0.4071911224023314,0.5942531125097364,1162.253598388742,0.09880209283686885,1385945574.949033,0.2217522972574975
k12,AGT,LRP2,k14,333,0.304945054945055,15.39522424338853,16811.58487378028,0.2426430425446406,0.3731613559766827,204,0.5125628140703518,71.89297994365049,28613.40601757289,0.3877661600453107,0.2062545338193005,1106.808547757933,0.09408876086924624,481036703.792362,0.07696622151634873
k12,AGT,LRP2,k15,333,0.304945054945055,15.39522424338853,16811.58487378028,0.2426430425446406,0.3731613559766827,269,0.3695054945054945,38.0155194018497,27675.29812454658,0.205042717552358,0.1994923536709631,585.2574459203636,0.04975218883852552,465265623.327987,0.07444283720283655
k14,AGT,LRP2,k12,140,0.3517587939698493,20.43105117306615,8131.558366880327,0.3220123553021316,0.1804935923156831,560,0.5128205128205128,75.49442476538601,82439.91184380153,0.4071911224023314,0.5942531125097364,1542.430455662794,0.1311205723828933,670364954.9183409,0.1072588790216581
k14,AGT,LRP2,k14,140,0.3517587939698493,20.43105117306615,8131.558366880327,0.3220123553021316,0.1804935923156831,204,0.5125628140703518,71.89297994365049,28613.40601757289,0.3877661600453107,0.2062545338193005,1468.849152212941,0.1248654945026538,232671581.1071388,0.0372276217404421
k14,AGT,LRP2,k15,140,0.3517587939698493,20.43105117306615,8131.558366880327,0.3220123553021316,0.1804935923156831,269,0.3695054945054945,38.0155194018497,27675.29812454658,0.205042717552358,0.1994923536709631,776.6970222698802,0.06602628841658452,225043302.0205642,0.03600709155358289
k15,AGT,LRP2,k12,227,0.3118131868131868,27.62175953206924,20108.64093934641,0.4353446021532278,0.4463450517076342,560,0.5128205128205128,75.49442476538601,82439.91184380153,0.4071911224023314,0.5942531125097364,2085.288846881385,0.1772684571825693,1657754586.338376,0.2652419362305809
k15,AGT,LRP2,k14,227,0.3118131868131868,27.62175953206924,20108.64093934641,0.4353446021532278,0.4463450517076342,204,0.5125628140703518,71.89297994365049,28613.40601757289,0.3877661600453107,0.2062545338193005,1985.81060404739,0.1688119046734106,575376707.6591071,0.09206069056250966
k15,AGT,LRP2,k15,227,0.3118131868131868,27.62175953206924,20108.64093934641,0.4353446021532278,0.4463450517076342,269,0.3695054945054945,38.0155194018497,27675.29812454658,0.205042717552358,0.1994923536709631,1050.055535404605,0.08926424029724796,556512632.8758742,0.08904242491454369
k12,COMP,CD47,k12,269,0.2463369963369964,16.02059023602202,17494.48453773605,0.3747533146663273,0.5692643459587293,413,0.3782051282051282,61.92008101032685,67616.72846327692,0.3891952939160834,0.5285526942687412,991.9962452477348,0.1458522264475877,1182919810.593095,0.3008862038076192
k12,COMP,CD47,k14,269,0.2463369963369964,16.02059023602202,17494.48453773605,0.3747533146663273,0.5692643459587293,119,0.2989949748743719,31.61809006871135,12583.99984734712,0.1987337816193266,0.0983677734069183,506.5404650364619,0.07447614339801668,220150590.7522869,0.05599726619190583
k12,COMP,CD47,k15,269,0.2463369963369964,16.02059023602202,17494.48453773605,0.3747533146663273,0.5692643459587293,320,0.4395604395604396,65.55954150450036,47727.34621527626,0.4120709244645899,0.3730795323243405,1050.302550505079,0.1544249448207229,834965320.3903255,0.2123808759592043
k14,COMP,CD47,k12,103,0.2587939698492462,18.85312813214441,7503.544996593475,0.441011982408985,0.2441627031447509,413,0.3782051282051282,61.92008101032685,67616.72846327692,0.3891952939160834,0.5285526942687412,1167.387221240454,0.1716397881141795,507365164.5466411,0.1290528545870969
k14,COMP,CD47,k14,103,0.2587939698492462,18.85312813214441,7503.544996593475,0.441011982408985,0.2441627031447509,119,0.2989949748743719,31.61809006871135,12583.99984734712,0.1987337816193266,0.0983677734069183,596.0999033590977,0.08764397900357355,94424609.0916945,0.02401774145736351
k14,COMP,CD47,k15,103,0.2587939698492462,18.85312813214441,7503.544996593475,0.441011982408985,0.2441627031447509,320,0.4395604395604396,65.55954150450036,47727.34621527626,0.4120709244645899,0.3730795323243405,1236.002436268985,0.1817282152912319,358124289.8943207,0.09109210710029043
k15,COMP,CD47,k12,81,0.1112637362637363,7.875977522546179,5733.711636413618,0.1842347029246877,0.1865729508965199,413,0.3782051282051282,61.92008101032685,67616.72846327692,0.3891952939160834,0.5285526942687412,487.6811662315727,0.07170327935431611,387694822.8061107,0.09861363587402515
k15,COMP,CD47,k14,81,0.1112637362637363,7.875977522546179,5733.711636413618,0.1842347029246877,0.1865729508965199,119,0.2989949748743719,31.61809006871135,12583.99984734712,0.1987337816193266,0.0983677734069183,249.0233666870112,0.0366136592177364,72153026.35736136,0.01835276575764896
k15,COMP,CD47,k15,81,0.1112637362637363,7.875977522546179,5733.711636413618,0.1842347029246877,0.1865729508965199,320,0.4395604395604396,65.55954150450036,47727.34621527626,0.4120709244645899,0.3730795323243405,516.3454752778781,0.07591776435263513,273654840.3696709,0.06960654926484579
k12,COMP,ITGA5,k12,269,0.2463369963369964,16.02059023602202,17494.48453773605,0.3747533146663273,0.5692643459587293,732,0.6703296703296703,59.05327498436984,64486.17628293186,0.3530396349688454,0.522887637647238,946.0683206197187,0.132302773413165,1128152413.879472,0.29766128905516
k12,COMP,ITGA5,k14,269,0.2463369963369964,16.02059023602202,17494.48453773605,0.3747533146663273,0.5692643459587293,233,0.585427135678392,60.42914942200399,24050.80146995759,0.3612650586960459,0.1950164746778049,968.1106412012728,0.1353852782194685,420756374.4363324,0.1110159259086377
k12,COMP,ITGA5,k15,269,0.2463369963369964,16.02059023602202,17494.48453773605,0.3747533146663273,0.5692643459587293,301,0.4134615384615384,47.78852518426091,34790.04633414194,0.2856953063351086,0.2820958876749571,765.6003799608627,0.1070652630336937,608633927.6597668,0.1605871309949317
k14,COMP,ITGA5,k12,103,0.2587939698492462,18.85312813214441,7503.544996593475,0.441011982408985,0.2441627031447509,732,0.6703296703296703,59.05327498436984,64486.17628293186,0.3530396349688454,0.522887637647238,1113.338959903083,0.155694709286555,483874925.3972382,0.1276696590489226
k14,COMP,ITGA5,k14,103,0.2587939698492462,18.85312813214441,7503.544996593475,0.441011982408985,0.2441627031447509,233,0.585427135678392,60.42914942200399,24050.80146995759,0.3612650586960459,0.1950164746778049,1139.278496969541,0.1593222197106415,180466271.0339632,0.04761574961509269
k14,COMP,ITGA5,k15,103,0.2587939698492462,18.85312813214441,7503.544996593475,0.441011982408985,0.2441627031447509,301,0.4134615384615384,47.78852518426091,34790.04633414194,0.2856953063351086,0.2820958876749571,900.9631885450808,0.1259950534117885,261048678.1018059,0.06887729448073554
k15,COMP,ITGA5,k12,81,0.1112637362637363,7.875977522546179,5733.711636413618,0.1842347029246877,0.1865729508965199,732,0.6703296703296703,59.05327498436984,64486.17628293186,0.3530396349688454,0.522887637647238,465.1022664096354,0.06504215226912541,369745139.3412663,0.09755668954315543
k15,COMP,ITGA5,k14,81,0.1112637362637363,7.875977522546179,5733.711636413618,0.1842347029246877,0.1865729508965199,233,0.585427135678392,60.42914942200399,24050.80146995759,0.3612650586960459,0.1950164746778049,475.9386225542878,0.06655756076593586,137900360.2533696,0.03638479915407451
k15,COMP,ITGA5,k15,81,0.1112637362637363,7.875977522546179,5733.711636413618,0.1842347029246877,0.1865729508965199,301,0.4134615384615384,47.78852518426091,34790.04633414194,0.2856953063351086,0.2820958876749571,376.3813501868709,0.05263498988962638,199476093.4974386,0.05263146219928997
k12,CP,SLC40A1,k12,155,0.1419413919413919,6.728780989701033,7347.828840753527,0.2308420264706434,0.375168421023319,147,0.1346153846153846,6.863630238062389,7495.084219964128,0.2814057849270235,0.4386613702015508,46.18386466621138,0.06496028165311613,55072595.99532907,0.1645718936224414
k12,CP,SLC40A1,k14,155,0.1419413919413919,6.728780989701033,7347.828840753527,0.2308420264706434,0.375168421023319,72,0.1809045226130653,9.601173239783382,3821.266949433786,0.393643829584314,0.2236455451000319,64.60419197468069,0.09086953932890765,28078015.49926782,0.08390474602407845
k12,CP,SLC40A1,k15,155,0.1419413919413919,6.728780989701033,7347.828840753527,0.2308420264706434,0.375168421023319,58,0.07967032967032966,7.925705195749281,5769.913382505476,0.3249503854886626,0.3376930846984172,53.33033445113246,0.07501220548861963,42396335.96062347,0.1266917813767992
k14,CP,SLC40A1,k12,85,0.2135678391959799,12.37645292456564,4925.828263977125,0.4245948081826621,0.2515049345976353,147,0.1346153846153846,6.863630238062389,7495.084219964128,0.2814057849270235,0.4386613702015508,84.94739653300442,0.119483435272581,36919497.69158825,0.1103254992230501
k14,CP,SLC40A1,k14,85,0.2135678391959799,12.37645292456564,4925.828263977125,0.4245948081826621,0.2515049345976353,72,0.1809045226130653,9.601173239783382,3821.266949433786,0.393643829584314,0.2236455451000319,118.8284686227784,0.1671391263146403,18822904.74372259,0.05624795819343603
k14,CP,SLC40A1,k15,85,0.2135678391959799,12.37645292456564,4925.828263977125,0.4245948081826621,0.2515049345976353,58,0.07967032967032966,7.925705195749281,5769.913382505476,0.3249503854886626,0.3376930846984172,98.09211724917627,0.1379722465954408,28421602.42024533,0.08493147718114916
k15,CP,SLC40A1,k12,94,0.1291208791208791,10.04362209162506,7311.756882703046,0.3445631653466945,0.3733266443790456,147,0.1346153846153846,6.863630238062389,7495.084219964128,0.2814057849270235,0.4386613702015508,68.93570828774921,0.09696206800132634,54802233.63176171,0.1637639773560592
