,Mono_TC-YH,Mono_TC-AH,Mono_TC-ACR,Mono_TC-YCR,Mono_BC-YH,Mono_BC-AH,Mono_BC-YCR,Mono_BC-ACR,TC_Mono-YH,TC_Mono-AH,TC_Mono-YCR,TC_Mono-ACR,BC_Mono-YH,BC_Mono-AH,BC_Mono-YCR,BC_Mono-ACR,TC_BC-YH,TC_BC-AH,TC_BC-YCR,TC_BC-ACR,BC_TC-YH,BC_TC-AH,BC_TC-YCR,BC_TC-ACR
CCL5-CCR3,2.661402801,-0.293899436,0.510714952,-1.806294108,0,1.152253285,0.617051076,0.732003436,-2.661402801,0.293899436,-0.510714952,1.806294108,0,-1.152253285,-0.617051076,-0.732003436,-3.188431899,1.718026555,1.322447124,2.905597184,3.188431899,-1.718026555,-1.322447124,-2.905597184
CCL5-CCR5,-1.550718262,-1.534614891,-1.375569471,-2.207187117,-1.859854047,-2.124186981,-0.401462127,-2.00091522,1.550718262,1.534614891,1.375569471,2.207187117,1.859854047,2.124186981,0.401462127,2.00091522,-0.349407558,-0.654189671,0.883571612,-0.022661694,0.349407558,0.654189671,-0.883571612,0.022661694
CD160-TNFRSF14,-1.574130827,-2.361654752,-2.542831036,-4.514530678,-0.475143548,-0.395814237,-0.069659482,-0.937229197,1.574130827,2.361654752,2.542831036,4.514530678,0.475143548,0.395814237,0.069659482,0.937229197,1.101786805,1.966167052,2.466332016,3.566821977,-1.101786805,-1.966167052,-2.466332016,-3.566821977
CD274-PDCD1,0.373545613,0.350226105,0.974672033,0.330613526,0.056652621,0.027589271,0.127811854,-0.044786832,-0.373545613,-0.350226105,-0.974672033,-0.330613526,-0.056652621,-0.027589271,-0.127811854,0.044786832,-0.179911729,-0.381052675,-0.507468982,-1.693062586,0.179911729,0.381052675,0.507468982,1.693062586
CD274-CD80,-0.11077224,-0.282570763,-0.424861599,-0.217541603,0.550520874,0.143438987,1.475505603,0.263158813,0.11077224,0.282570763,0.424861599,0.217541603,-0.550520874,-0.143438987,-1.475505603,-0.263158813,1.111433936,1.669799943,1.80887762,1.685889759,-1.111433936,-1.669799943,-1.80887762,-1.685889759
CD2-CD48,-3.413133178,-4.158570219,-4.303734954,-5.647053142,-1.23703838,-0.87204463,-0.784717367,-0.951696983,3.413133178,4.158570219,4.303734954,5.647053142,1.23703838,0.87204463,0.784717367,0.951696983,2.175771137,3.286343969,3.518337719,4.693585894,-2.175771137,-3.286343969,-3.518337719,-4.693585894
CD244-CD48,0.890758271,1.196675102,1.58853771,0.410134098,2.28510914,3.014179465,3.601101895,6.036406997,-0.890758271,-1.196675102,-1.58853771,-0.410134098,-2.28510914,-3.014179465,-3.601101895,-6.036406997,1.395036685,1.818162748,2.016609582,5.635225316,-1.395036685,-1.818162748,-2.016609582,-5.635225316
CD70-CD27,1.295162457,2.017085056,1.086122131,2.434074358,-1.777976905,0.522828721,-2.994992052,0.569007646,-1.295162457,-2.017085056,-1.086122131,-2.434074358,1.777976905,-0.522828721,2.994992052,-0.569007646,-3.360269171,-1.53851056,-4.617557311,-2.166912136,3.360269171,1.53851056,4.617557311,2.166912136
CD80-CD28,2.143947483,2.153688975,3.437647896,2.408327229,-1.163985379,-1.082412068,-1.039972872,-0.942378684,-2.143947483,-2.153688975,-3.437647896,-2.408327229,1.163985379,1.082412068,1.039972872,0.942378684,-5.147204006,-5.149939033,-6.096258835,-6.12629387,5.147204006,5.149939033,6.096258835,6.12629387
CD80-CTLA4,1.159403451,1.203651066,1.364531542,1.392051402,-0.70828654,-0.13573955,-0.032840917,-0.506273557,-1.159403451,-1.203651066,-1.364531542,-1.392051402,0.70828654,0.13573955,0.032840917,0.506273557,-3.890651656,-3.792523396,-3.567801335,-4.87345505,3.890651656,3.792523396,3.567801335,4.87345505
CD86-CD28,9.392006293,9.537472421,9.595017355,9.258421715,3.616548727,1.735830981,1.968349205,1.227558499,-9.392006293,-9.537472421,-9.595017355,-9.258421715,-3.616548727,-1.735830981,-1.968349205,-1.227558499,-6.257842424,-8.112271332,-8.080296045,-8.007248473,6.257842424,8.112271332,8.080296045,8.007248473
CD86-CTLA4,8.239892989,8.558328215,7.257548861,7.885894622,2.84182447,3.542869396,2.504362223,-1.38764294,-8.239892989,-8.558328215,-7.257548861,-7.885894622,-2.84182447,-3.542869396,-2.504362223,1.38764294,-5.565798462,-6.830505126,-5.858380342,-6.779695843,5.565798462,6.830505126,5.858380342,6.779695843
CSF1-CSF1R,-5.793558725,-6.973461943,-5.188608138,-4.768420631,-2.44939614,-4.320236806,1.148796346,1.086919581,5.793558725,6.973461943,5.188608138,4.768420631,2.44939614,4.320236806,-1.148796346,-1.086919581,0.607990229,0.737941092,0.936212917,1.351654593,-0.607990229,-0.737941092,-0.936212917,-1.351654593
CXCL1-CXCR1,0.101634719,1.055097642,0.576761157,1.290528729,0.261110087,0.377452021,0.156339388,0,-0.101634719,-1.055097642,-0.576761157,-1.290528729,-0.261110087,-0.377452021,-0.156339388,0,0.02338264,0,-0.028224088,0,-0.02338264,0,0.028224088,0
CXCL1-CXCR2,0.261133839,1.296469562,0.85332808,1.73533309,0.22048584,0.942612978,-0.100389516,0.565854142,-0.261133839,-1.296469562,-0.85332808,-1.73533309,-0.22048584,-0.942612978,0.100389516,-0.565854142,0.019487394,0,-0.046036157,0.013286023,-0.019487394,0,0.046036157,-0.013286023
CXCL10-CXCR3,4.495700095,6.954201343,5.464050484,5.051322759,2.693653022,5.113784507,5.349796305,4.821436325,-4.495700095,-6.954201343,-5.464050484,-5.051322759,-2.693653022,-5.113784507,-5.349796305,-4.821436325,0,0.741695235,-0.562096881,0,0,-0.741695235,0.562096881,0
CXCL11-CXCR3,0,2.769800081,2.172969458,1.746657036,0,1.254003074,2.139449109,1.58400311,0,-2.769800081,-2.172969458,-1.746657036,0,-1.254003074,-2.139449109,-1.58400311,0,0,0.178473211,0,0,0,-0.178473211,0
CXCL2-CXCR2,0.715631426,3.192194282,2.424973528,4.522982139,-0.280160428,2.313947216,0.674114572,1.530929692,-0.715631426,-3.192194282,-2.424973528,-4.522982139,0.280160428,-2.313947216,-0.674114572,-1.530929692,-0.196605685,-0.248456108,0.001401816,-0.720440677,0.196605685,0.248456108,-0.001401816,0.720440677
CXCL3-CXCR2,-0.149497966,1.982864451,1.140740661,2.992625204,-0.285300629,1.265953194,0.226739208,0.33837308,0.149497966,-1.982864451,-1.140740661,-2.992625204,0.285300629,-1.265953194,-0.226739208,-0.33837308,-0.05595027,-0.133880847,0.001628364,-0.627827412,0.05595027,0.133880847,-0.001628364,0.627827412
CXCL8-CXCR1,0.783488355,3.591936447,4.072108329,5.353238443,1.206055014,1.994627506,2.41006521,-1.622201463,-0.783488355,-3.591936447,-4.072108329,-5.353238443,-1.206055014,-1.994627506,-2.41006521,1.622201463,-0.069426968,-0.122452308,-0.185403615,-2.559175451,0.069426968,0.122452308,0.185403615,2.559175451
CXCL8-CXCR2,1.781412307,3.741062055,3.854394163,4.007020071,0.275114771,3.065982103,0.911881745,0.798613286,-1.781412307,-3.741062055,-3.854394163,-4.007020071,-0.275114771,-3.065982103,-0.911881745,-0.798613286,-0.283422887,-0.098711339,-0.3385119,-2.375809598,0.283422887,0.098711339,0.3385119,2.375809598
CXCL9-CXCR3,0,4.327788041,2.844465587,1.716790678,0,2.470099303,2.793928896,1.555664736,0,-4.327788041,-2.844465587,-1.716790678,0,-2.470099303,-2.793928896,-1.555664736,0,0,0,0,0,0,0,0
FASLG-FAS,-3.053595622,-2.362402455,-2.799921864,-2.826065834,-3.208947948,-1.055613522,-0.477783045,1.052315528,3.053595622,2.362402455,2.799921864,2.826065834,3.208947948,1.055613522,0.477783045,-1.052315528,-0.811669325,0.971444282,1.915228192,4.197591442,0.811669325,-0.971444282,-1.915228192,-4.197591442
