,Mono_TC-YH,Mono_TC-AH,Mono_TC-ACR,Mono_TC-YCR,Mono_BC-YH,Mono_BC-AH,Mono_BC-YCR,Mono_BC-ACR,TC_Mono-YH,TC_Mono-AH,TC_Mono-YCR,TC_Mono-ACR,BC_Mono-YH,BC_Mono-AH,BC_Mono-YCR,BC_Mono-ACR,TC_BC-YH,TC_BC-AH,TC_BC-YCR,TC_BC-ACR,BC_TC-YH,BC_TC-AH,BC_TC-YCR,BC_TC-ACR
TGFB2-TGFBR2,-1.35757631,0,-1.403042431,0,-5.100714327,-5.62128048,-4.725268522,-3.468598044,1.35757631,0,1.403042431,0,5.100714327,5.62128048,4.725268522,3.468598044,-4.16074784,-5.556026029,-3.609086245,-3.654173633,4.16074784,5.556026029,3.609086245,3.654173633
TGFB3-TGFBR3,0.453197778,-0.642992729,0.95118236,1.36746974,-0.118236126,-0.640634741,0.084495822,-0.015368513,-0.453197778,0.642992729,-0.95118236,-1.36746974,0.118236126,0.640634741,-0.084495822,0.015368513,-0.868326037,-2.270126055,-0.433485995,-1.918184111,0.868326037,2.270126055,0.433485995,1.918184111
TNFSF10-TNFRSF10A,3.766332719,3.632695315,3.199726096,3.04680031,4.099539073,4.245472261,3.350052617,3.621768803,-3.766332719,-3.632695315,-3.199726096,-3.04680031,-4.099539073,-4.245472261,-3.350052617,-3.621768803,0.343059719,0.624202755,0.151780104,0.578466462,-0.343059719,-0.624202755,-0.151780104,-0.578466462
TNFSF10-TNFRSF10B,0.448382051,-0.01748491,0.92419818,0.529931356,0.627912896,0.928408894,0.898141208,0.318343554,-0.448382051,0.01748491,-0.92419818,-0.529931356,-0.627912896,-0.928408894,-0.898141208,-0.318343554,0.17809396,0.937389996,-0.025572042,-0.209925226,-0.17809396,-0.937389996,0.025572042,0.209925226
TNFSF10-TNFRSF10C,-3.022437073,-6.433041307,-1.952341029,-2.741867384,-2.70989239,-1.053787236,-4.304396836,-5.805655591,3.022437073,6.433041307,1.952341029,2.741867384,2.70989239,1.053787236,4.304396836,5.805655591,0.179576505,2.719753455,-1.607428263,-1.681493787,-0.179576505,-2.719753455,1.607428263,1.681493787
TNFSF10-TNFRSF10D,2.034895584,1.097483773,1.242135823,0.883704239,-0.024188131,1.776062802,0.408849751,1.012692748,-2.034895584,-1.097483773,-1.242135823,-0.883704239,0.024188131,-1.776062802,-0.408849751,-1.012692748,-1.954536887,0.670606331,-0.817890096,0.12965366,1.954536887,-0.670606331,0.817890096,-0.12965366
TNFSF12-TNFRSF25,4.900584556,3.850431934,6.319455059,5.755546091,1.849714398,0.997206483,3.600609098,1.248312039,-4.900584556,-3.850431934,-6.319455059,-5.755546091,-1.849714398,-0.997206483,-3.600609098,-1.248312039,-2.947948009,-2.668793885,-2.158211858,-4.042536614,2.947948009,2.668793885,2.158211858,4.042536614
TNFSF12-TNFRSF10D,1.105111175,-0.170041091,0.392988293,0.052809936,-1.179127194,0.395993743,0.494226627,0.252412462,-1.105111175,0.170041091,-0.392988293,-0.052809936,1.179127194,-0.395993743,-0.494226627,-0.252412462,-2.057296141,0.515044227,0.108041037,0.185800602,2.057296141,-0.515044227,-0.108041037,-0.185800602
TNFSF13-TNFRSF13B,2.357847027,3.571287568,3.811783125,5.40704297,9.587383539,9.623409592,10.71352999,10.07093726,-2.357847027,-3.571287568,-3.811783125,-5.40704297,-9.587383539,-9.623409592,-10.71352999,-10.07093726,3.548140864,3.124532289,3.850880583,1.876452287,-3.548140864,-3.124532289,-3.850880583,-1.876452287
TNFSF13-TNFRSF17,1.980702722,1.593857244,4.045472461,5.038761295,9.204408012,8.599135285,9.724242325,10.03228078,-1.980702722,-1.593857244,-4.045472461,-5.038761295,-9.204408012,-8.599135285,-9.724242325,-10.03228078,2.77124808,2.807812148,2.920620868,2.313638003,-2.77124808,-2.807812148,-2.920620868,-2.313638003
TNFSF13B-TNFRSF17,2.814695398,1.701593026,4.33884686,5.50125604,10.2375037,9.790112328,10.85188827,11.00853115,-2.814695398,-1.701593026,-4.33884686,-5.50125604,-10.2375037,-9.790112328,-10.85188827,-11.00853115,5.073946815,5.783610528,5.680418816,4.895903697,-5.073946815,-5.783610528,-5.680418816,-4.895903697
TNFSF13B-TNFRSF13B,2.948381579,3.558023231,4.222676449,5.998691235,10.92575739,10.94382824,11.80781483,11.06968854,-2.948381579,-3.558023231,-4.222676449,-5.998691235,-10.92575739,-10.94382824,-11.80781483,-11.06968854,5.992833154,6.521272155,6.615932568,4.444350229,-5.992833154,-6.521272155,-6.615932568,-4.444350229
TNFSF13B-TNFRSF13C,6.484963957,5.922827331,5.864150507,5.667382018,11.61514799,11.38999455,11.58871719,10.84136822,-6.484963957,-5.922827331,-5.864150507,-5.667382018,-11.61514799,-11.38999455,-11.58871719,-10.84136822,4.960690824,5.327438924,5.457378012,4.62878033,-4.960690824,-5.327438924,-5.457378012,-4.62878033
TNFSF14-LTBR,-5.974756772,-7.197787935,-5.406893757,-5.518371969,-3.62166136,-4.202020948,0.505199449,-1.883359913,5.974756772,7.197787935,5.406893757,5.518371969,3.62166136,4.202020948,-0.505199449,1.883359913,1.57199072,2.006324372,2.067496394,2.156411807,-1.57199072,-2.006324372,-2.067496394,-2.156411807
TNFSF14-TNFRSF14,-0.013236597,-1.88949329,0.904657531,-0.230973498,1.753994162,0.940020168,5.771310468,3.031958125,0.013236597,1.88949329,-0.904657531,0.230973498,-1.753994162,-0.940020168,-5.771310468,-3.031958125,1.769899112,2.829278107,4.859569987,3.266690881,-1.769899112,-2.829278107,-4.859569987,-3.266690881
TNFSF15-TNFRSF25,3.565256335,3.320454912,2.811169089,3.809197458,1.068628566,0.740488148,0.59108807,0.439292411,-3.565256335,-3.320454912,-2.811169089,-3.809197458,-1.068628566,-0.740488148,-0.59108807,-0.439292411,0,0,-0.499868412,0,0,0,0.499868412,0
TNFSF4-TNFRSF4,0.315490649,1.090399342,0.75670605,0.466041139,-0.192513563,0.027551293,-0.020712401,-0.308497861,-0.315490649,-1.090399342,-0.75670605,-0.466041139,0.192513563,-0.027551293,0.020712401,0.308497861,-1.242890915,-1.64220634,-1.533381637,-3.157130699,1.242890915,1.64220634,1.533381637,3.157130699
TNFSF8-TNFRSF8,-5.844484061,-7.837426774,-5.616080438,-4.41350328,-3.622501203,-4.083624426,-2.995806206,-2.580021493,5.844484061,7.837426774,5.616080438,4.41350328,3.622501203,4.083624426,2.995806206,2.580021493,-0.227951351,2.129767608,0.516644481,0.136868169,0.227951351,-2.129767608,-0.516644481,-0.136868169
XCL1-XCR1,0,-0.744243658,-0.092928927,-0.314892478,0,-0.137968435,0.009995087,0.167308809,0,0.744243658,0.092928927,0.314892478,0,0.137968435,-0.009995087,-0.167308809,0,-0.068200658,0.314538716,1.842728058,0,0.068200658,-0.314538716,-1.842728058
XCL2-XCR1,0,-0.404325892,-0.052509218,-0.161029027,0,-0.086553224,0.010510585,0.040648987,0,0.404325892,0.052509218,0.161029027,0,0.086553224,-0.010510585,-0.040648987,0,-0.042399548,0.183610398,1.171425065,0,0.042399548,-0.183610398,-1.171425065
