Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Ligand detection rate,Ligand average expression value,Ligand derived specificity of average expression value,Receptor detection rate,Receptor average expression value,Receptor derived specificity of average expression value,Edge average expression weight,Edge average expression derived specificity
k12,AGT,LRP2,k12,0.7760778859527121,40.51304107867275,0.3188271734681097,0.3824756606397774,11.60908018269285,0.3292161340490065,470.3191423270411,0.1049630494789431
k12,AGT,LRP2,k14,0.7760778859527121,40.51304107867275,0.3188271734681097,0.3402555910543131,12.5658507737703,0.35634871563250603,509.0808285862278,0.1136136537741031
k12,AGT,LRP2,k15,0.7760778859527121,40.51304107867275,0.3188271734681097,0.2769230769230769,11.087861422250409,0.3144351503184875,449.2029852742618,0.1002504702150635
k14,AGT,LRP2,k12,0.6853035143769968,38.01771383685259,0.2991895923286798,0.3824756606397774,11.60908018269285,0.3292161340490065,441.35068829469316,0.09849804093414624
k14,AGT,LRP2,k14,0.6853035143769968,38.01771383685259,0.2991895923286798,0.3402555910543131,12.5658507737703,0.35634871563250603,477.7249188337919,0.1066158269569381
k14,AGT,LRP2,k15,0.6853035143769968,38.01771383685259,0.2991895923286798,0.2769230769230769,11.087861422250409,0.3144351503184875,421.5351426137935,0.0940757244375954
k15,AGT,LRP2,k12,0.6512820512820513,48.5382167721248,0.3819832342032106,0.3824756606397774,11.60908018269285,0.3292161340490065,563.4840504325236,0.1257550436359172
k15,AGT,LRP2,k14,0.6512820512820513,48.5382167721248,0.3819832342032106,0.3402555910543131,12.5658507737703,0.35634871563250603,609.9239887834348,0.1361192349014649
k15,AGT,LRP2,k15,0.6512820512820513,48.5382167721248,0.3819832342032106,0.2769230769230769,11.087861422250409,0.3144351503184875,538.1850212524704,0.1201089556658285
k12,JAG1,NOTCH3,k12,0.4394993045897079,10.204363019889211,0.3337509223870897,0.8484005563282336,52.53683397121247,0.38177111347931103,536.1049257578994,0.1274164612644663
k12,JAG1,NOTCH3,k14,0.4394993045897079,10.204363019889211,0.3337509223870897,0.7875399361022364,43.30208957989683,0.3146646972285484,441.87024159302905,0.1050196329426823
k12,JAG1,NOTCH3,k15,0.4394993045897079,10.204363019889211,0.3337509223870897,0.6564102564102564,41.77451056236389,0.3035641892921406,426.2822707565572,0.10131482817994099
k14,JAG1,NOTCH3,k12,0.41533546325878595,10.81305912719759,0.3536593563453526,0.8484005563282336,52.53683397121247,0.38177111347931103,568.0838920864835,0.1350169262643417
k14,JAG1,NOTCH3,k14,0.41533546325878595,10.81305912719759,0.3536593563453526,0.7875399361022364,43.30208957989683,0.3146646972285484,468.2280549586312,0.1112841142864537
k14,JAG1,NOTCH3,k15,0.41533546325878595,10.81305912719759,0.3536593563453526,0.6564102564102564,41.77451056236389,0.3035641892921406,451.7102527205812,0.1073583157945572
k15,JAG1,NOTCH3,k12,0.282051282051282,9.557363824752473,0.3125897212675577,0.8484005563282336,52.53683397121247,0.38177111347931103,502.11363646349264,0.11933772595050302
k15,JAG1,NOTCH3,k14,0.282051282051282,9.557363824752473,0.3125897212675577,0.7875399361022364,43.30208957989683,0.3146646972285484,413.85382448709686,0.09836094999941238
k15,JAG1,NOTCH3,k15,0.282051282051282,9.557363824752473,0.3125897212675577,0.6564102564102564,41.77451056236389,0.3035641892921406,399.2541960454767,0.09489104531764236
k12,JAG1,CD46,k12,0.4394993045897079,10.204363019889211,0.3337509223870897,0.4478442280945758,32.37976315076688,0.5730778652491945,330.41485768845666,0.191265266126543
k12,JAG1,CD46,k14,0.4394993045897079,10.204363019889211,0.3337509223870897,0.3402555910543131,14.297814126559329,0.2530519065018033,145.9000857383115,0.08445630720678844
k12,JAG1,CD46,k15,0.4394993045897079,10.204363019889211,0.3337509223870897,0.2564102564102564,9.823929959717434,0.1738702282490024,100.2469475909223,0.05802934905375836
k14,JAG1,CD46,k12,0.41533546325878595,10.81305912719759,0.3536593563453526,0.4478442280945758,32.37976315076688,0.5730778652491945,350.12429347389605,0.2026743489597988
k14,JAG1,CD46,k14,0.41533546325878595,10.81305912719759,0.3536593563453526,0.3402555910543131,14.297814126559329,0.2530519065018033,154.603109540167,0.08949417437539213
k14,JAG1,CD46,k15,0.41533546325878595,10.81305912719759,0.3536593563453526,0.2564102564102564,9.823929959717434,0.1738702282490024,106.22673551587249,0.06149083301016173
k15,JAG1,CD46,k12,0.282051282051282,9.557363824752473,0.3125897212675577,0.4478442280945758,32.37976315076688,0.5730778652491945,309.4651769911924,0.1791382501628527
k15,JAG1,CD46,k14,0.282051282051282,9.557363824752473,0.3125897212675577,0.3402555910543131,14.297814126559329,0.2530519065018033,136.649411506213,0.07910142491962277
k15,JAG1,CD46,k15,0.282051282051282,9.557363824752473,0.3125897212675577,0.2564102564102564,9.823929959717434,0.1738702282490024,93.89087281390542,0.05435004618508228
k12,JAG1,NOTCH2,k12,0.4394993045897079,10.204363019889211,0.3337509223870897,0.521557719054242,42.267595004769504,0.4062196491373509,431.3138834063238,0.1355761825913508
k12,JAG1,NOTCH2,k14,0.4394993045897079,10.204363019889211,0.3337509223870897,0.4680511182108626,31.62079959629068,0.3038968769336947,322.6701180597162,0.1014258629871765
k12,JAG1,NOTCH2,k15,0.4394993045897079,10.204363019889211,0.3337509223870897,0.4256410256410256,30.162689817256553,0.2898834739289543,307.7910365516015,0.09674887680856237
k14,JAG1,NOTCH2,k12,0.41533546325878595,10.81305912719759,0.3536593563453526,0.521557719054242,42.267595004769504,0.4062196491373509,457.0420039510144,0.1436633796487505
k14,JAG1,NOTCH2,k14,0.41533546325878595,10.81305912719759,0.3536593563453526,0.4680511182108626,31.62079959629068,0.3038968769336947,341.917575683957,0.1074759738917333
k14,JAG1,NOTCH2,k15,0.41533546325878595,10.81305912719759,0.3536593563453526,0.4256410256410256,30.162689817256553,0.2898834739289543,326.15094842931586,0.1025200028048688
k15,JAG1,NOTCH2,k12,0.282051282051282,9.557363824752473,0.3125897212675577,0.521557719054242,42.267595004769504,0.4062196491373509,403.9667834578724,0.1269800868972496
k15,JAG1,NOTCH2,k14,0.282051282051282,9.557363824752473,0.3125897212675577,0.4680511182108626,31.62079959629068,0.3038968769336947,302.21148617133616,0.09499504005478493
k15,JAG1,NOTCH2,k15,0.282051282051282,9.557363824752473,0.3125897212675577,0.4256410256410256,30.162689817256553,0.2898834739289543,288.2758005166775,0.09061459431552316
k12,MYOC,FZD4,k15,0.5020862308762171,31.117914652607713,0.3194840665961761,0.3025641025641025,16.352000657987972,0.6954300743910912,508.8401608746548,0.222178828199747
k14,MYOC,FZD4,k15,0.48722044728434494,37.64500144662393,0.3864969193293443,0.3025641025641025,16.352000657987972,0.6954300743910912,615.5710884251528,0.2687815813611335
k15,MYOC,FZD4,k15,0.4358974358974359,28.6376052605405,0.2940190140744797,0.3025641025641025,16.352000657987972,0.6954300743910912,468.28214006355796,0.2044696648302107
k12,MYOC,FZD7,k12,0.5020862308762171,31.117914652607713,0.3194840665961761,0.6787204450625869,21.32776277632809,0.161465700196342,663.6755018048412,0.05158571851452634
k12,MYOC,FZD7,k14,0.5020862308762171,31.117914652607713,0.3194840665961761,0.7268370607028753,40.50287831111535,0.3066343936331708,1260.365110470244,0.097964803036178
k12,MYOC,FZD7,k15,0.5020862308762171,31.117914652607713,0.3194840665961761,0.7948717948717948,70.25786285112412,0.5318999061704872,2186.2781798758983,0.1699335450454717
k14,MYOC,FZD7,k12,0.48722044728434494,37.64500144662393,0.3864969193293443,0.6787204450625869,21.32776277632809,0.161465700196342,802.8836605681232,0.062405995703241714
k14,MYOC,FZD7,k14,0.48722044728434494,37.64500144662393,0.3864969193293443,0.7268370607028753,40.50287831111535,0.3066343936331708,1524.7309126143698,0.118513248499642
k14,MYOC,FZD7,k15,0.48722044728434494,37.64500144662393,0.3864969193293443,0.7948717948717948,70.25786285112412,0.5318999061704872,2644.857348667273,0.2055776751264606
k15,MYOC,FZD7,k12,0.4358974358974359,28.6376052605405,0.2940190140744797,0.6787204450625869,21.32776277632809,0.161465700196342,610.7760514789331,0.04747398597857401
k15,MYOC,FZD7,k14,0.4358974358974359,28.6376052605405,0.2940190140744797,0.7268370607028753,40.50287831111535,0.3066343936331708,1159.905440989429,0.09015634209735078
k15,MYOC,FZD7,k15,0.4358974358974359,28.6376052605405,0.2940190140744797,0.7948717948717948,70.25786285112412,0.5318999061704872,2012.016942779685,0.1563886859985549
k12,MYOC,FZD10,k12,0.5020862308762171,31.117914652607713,0.3194840665961761,0.8720445062586927,47.12446247236014,0.2541635470801095,1466.415001264918,0.08120120360166203
k12,MYOC,FZD10,k14,0.5020862308762171,31.117914652607713,0.3194840665961761,0.9137380191693292,69.53240690762209,0.3750197296579081,2163.703503741775,0.1198128282849071
